ticker,p,d,q
ZAMP3,1,1,1
ZAVI11,1,1,1
ZIFI11,1,1,1
ALZM11,2,1,2
AMBP3,2,1,2
AZEV3,2,1,2
B2HI34,2,1,4
BCFF11,5,1,5
BRIT3,5,1,3
BRKM3,3,1,5
CGAS3,5,1,5
CJCT11,1,1,1
